iter	Passed	Remaining
0	175	175280
1	186	93006
2	196	65308
3	205	51270
4	213	42489
5	219	36365
6	224	31884
7	230	28560
8	234	25870
9	239	23704
10	244	22007
11	249	20556
12	254	19297
13	258	18226
14	265	17404
15	270	16618
16	275	15920
17	280	15319
18	285	14752
19	290	14228
20	295	13777
21	300	13352
22	304	12949
23	309	12583
24	314	12273
25	319	11955
26	323	11663
27	329	11439
28	334	11215
29	339	10986
30	345	10787
31	349	10583
32	354	10387
33	359	10208
34	364	10048
35	368	9879
36	373	9728
37	379	9604
38	384	9465
39	388	9325
40	393	9207
41	398	9095
42	403	8976
43	408	8867
44	413	8782
45	418	8681
46	423	8579
47	428	8495
48	433	8405
49	437	8317
50	443	8246
51	447	8165
52	452	8083
53	457	8008
54	462	7945
55	467	7873
56	472	7816
57	478	7776
58	483	7714
59	488	7649
60	493	7595
61	498	7537
62	502	7475
63	507	7416
64	512	7375
65	517	7321
66	521	7267
67	527	7229
68	532	7188
69	538	7149
70	544	7120
71	549	7077
72	553	7034
73	559	7000
74	564	6967
75	569	6928
76	575	6901
77	580	6865
78	585	6830
79	592	6812
80	597	6779
81	602	6746
82	608	6721
83	613	6694
84	618	6663
85	625	6642
86	630	6613
87	635	6584
88	641	6564
89	646	6536
90	651	6509
91	656	6483
92	661	6454
93	666	6426
94	672	6405
95	677	6379
96	682	6350
97	687	6329
98	693	6311
99	698	6285
100	703	6261
101	709	6243
102	714	6226
103	720	6207
104	727	6199
105	733	6182
106	740	6176
107	745	6154
108	749	6129
109	756	6122
110	762	6105
111	768	6090
112	775	6083
113	781	6074
114	787	6058
115	794	6056
116	800	6042
117	807	6033
118	812	6018
119	818	6000
120	824	5991
121	830	5976
122	835	5956
123	841	5945
124	847	5930
125	852	5916
126	859	5909
127	865	5894
128	871	5881
129	876	5862
130	880	5840
131	885	5824
132	890	5807
133	895	5786
134	899	5765
135	905	5752
136	910	5736
137	915	5717
138	920	5702
139	925	5686
140	930	5668
141	935	5653
142	940	5637
143	945	5620
144	950	5603
145	955	5589
146	960	5572
147	965	5555
148	971	5548
149	977	5538
150	982	5523
151	988	5513
152	992	5497
153	997	5480
154	1003	5468
155	1008	5453
156	1012	5437
157	1017	5423
158	1022	5407
159	1027	5393
160	1031	5377
161	1037	5365
162	1041	5350
163	1046	5335
164	1052	5323
165	1057	5310
166	1061	5295
167	1066	5281
168	1071	5268
169	1076	5253
170	1080	5238
171	1085	5227
172	1090	5212
173	1094	5197
174	1100	5186
175	1105	5173
176	1109	5160
177	1114	5146
178	1128	5177
179	1146	5223
180	1152	5217
181	1163	5230
182	1169	5222
183	1175	5211
184	1179	5197
185	1186	5190
186	1191	5180
187	1196	5167
188	1201	5157
189	1207	5145
190	1211	5132
191	1217	5123
192	1222	5110
193	1226	5097
194	1232	5086
195	1237	5074
196	1242	5063
197	1246	5050
198	1252	5040
199	1257	5029
200	1262	5017
201	1268	5009
202	1272	4997
203	1277	4984
204	1282	4973
205	1287	4961
206	1291	4948
207	1296	4938
208	1301	4926
209	1306	4914
210	1310	4902
211	1316	4892
212	1321	4881
213	1325	4869
214	1331	4860
215	1335	4849
216	1340	4837
217	1345	4825
218	1350	4815
219	1354	4803
220	1359	4791
221	1364	4781
222	1368	4769
223	1373	4758
224	1377	4745
225	1383	4737
226	1388	4727
227	1392	4715
228	1398	4706
229	1402	4695
230	1407	4684
231	1412	4675
232	1417	4665
233	1421	4654
234	1426	4643
235	1431	4635
236	1436	4626
237	1441	4615
238	1446	4607
239	1452	4599
240	1457	4588
241	1461	4579
